bugzero_win,complexity_pref1,complexity_pref2,opponent1_aggression,opponent1_opening,opponent1_rating,opponent2_aggression,opponent2_opening,opponent2_rating,opponent_id
0,0.59,0.41,0.38,French Defense,2299,0.15,King's Gambit,2385,1
0,0.49,0.75,0.34,Ruy López,2172,0.45,Sicilian Defense,2582,2
0,0.19,0.69,0.33,Sicilian Defense,2330,0.53,Queen's Gambit,1920,3
0,0.46,0.99,0.44,Queen's Gambit,2505,0.38,King's Gambit,2313,4
1,0.25,0.28,0.5,Scandinavian Defense,2153,0.5,Scandinavian Defense,2070,5
1,0.91,0.5,0.21,Sicilian Defense,2153,0.42,Sicilian Defense,2103,6
0,0.34,0.33,0.41,King's Gambit,2516,0.22,French Defense,2082,7
1,0.95,0.44,0.47,Scandinavian Defense,2353,0.11,King's Gambit,2027,8
0,0.53,0.86,0.26,Sicilian Defense,2106,0.18,Ruy López,2210,9
0,0.63,0.68,0.42,Sicilian Defense,2309,0.16,Queen's Gambit,2034,10
1,0.54,0.88,0.11,Sicilian Defense,2107,0.36,Sicilian Defense,2254,11
1,0.13,0.2,0.21,Sicilian Defense,2107,0.24,King's Gambit,2190,12
0,0.38,0.87,0.43,Scandinavian Defense,2248,0.04,French Defense,2152,13
1,0.1,0.06,0.57,King's Gambit,1817,0.18,Queen's Gambit,2018,14
1,0.62,0.89,0.35,Ruy López,1855,0.08,Queen's Gambit,2085,15
0,0.45,0.33,0.31,French Defense,2088,0.23,King's Gambit,2351,16
1,0.78,0.31,0.18,Queen's Gambit,1997,0.46,French Defense,2300,17
0,0.22,0.51,0.78,French Defense,2263,0.11,Scandinavian Defense,2004,18
0,0.16,0.94,0.32,French Defense,2018,0.52,Scandinavian Defense,2220,19
0,0.41,0.05,0.06,Queen's Gambit,1918,0.25,Sicilian Defense,2350,20
0,0.93,0.35,0.22,Scandinavian Defense,2493,0.36,King's Gambit,1866,21
1,0.71,0.86,0.42,King's Gambit,2155,0.14,Sicilian Defense,2309,22
1,0.42,0.4,0.09,Queen's Gambit,2214,0.26,Scandinavian Defense,2067,23
0,0.52,0.2,0.24,King's Gambit,1915,0.52,Queen's Gambit,2314,24
1,0.08,0.42,0.11,Scandinavian Defense,2091,0.48,Sicilian Defense,2047,25
1,0.98,0.39,0.39,French Defense,2222,0.26,French Defense,1839,26
0,0.67,0.92,0.26,King's Gambit,1970,0.22,Ruy López,1874,27
1,0.29,0.76,0.38,Scandinavian Defense,2275,0.28,Scandinavian Defense,2210,28
1,0.59,0.51,0.37,Scandinavian Defense,2080,0.32,Scandinavian Defense,2252,29
0,0.11,0.99,0.58,Ruy López,2142,0.56,French Defense,2019,30
0,0.97,0.47,0.56,Queen's Gambit,2080,0.16,Sicilian Defense,2328,31
1,0.17,0.06,0.09,Ruy López,2570,0.15,King's Gambit,1868,32
1,0.65,0.26,0.34,French Defense,2197,0.21,Queen's Gambit,2187,33
0,0.25,0.44,0.61,Queen's Gambit,1988,0.11,Ruy López,1958,34
0,0.72,0.16,0.31,French Defense,2365,0.36,King's Gambit,2070,35
0,0.78,0.95,0.65,Ruy López,1956,0.07,King's Gambit,2209,36
0,0.67,0.77,0.23,Scandinavian Defense,2242,0.58,French Defense,2028,37
0,0.61,0.27,0.45,French Defense,1808,0.28,Sicilian Defense,2123,38
1,0.89,0.59,0.6,Queen's Gambit,1934,0.38,Scandinavian Defense,2401,39
0,0.08,0.72,0.14,Queen's Gambit,2239,0.05,Scandinavian Defense,2085,40
1,0.33,0.94,0.24,French Defense,2348,0.39,French Defense,2367,41
1,0.25,0.88,0.6,Queen's Gambit,2234,0.33,Sicilian Defense,1974,42
1,0.99,0.52,0.29,Scandinavian Defense,2177,0.35,French Defense,2306,43
0,0.39,0.77,0.4,Scandinavian Defense,2140,0.24,Scandinavian Defense,2488,44
0,0.73,0.56,0.45,Queen's Gambit,1904,0.42,King's Gambit,1706,45
0,0.68,0.55,0.18,French Defense,2056,0.13,Queen's Gambit,2041,46
0,0.21,0.11,0.41,Ruy López,2108,0.33,Sicilian Defense,2315,47
0,0.24,0.13,0.35,Queen's Gambit,2411,0.07,Ruy López,2159,48
1,0.28,0.53,0.18,Queen's Gambit,2269,0.11,Ruy López,2274,49
1,0.41,0.27,0.21,Queen's Gambit,1847,0.54,King's Gambit,2079,50
0,0.23,0.02,0.61,Queen's Gambit,2265,0.16,French Defense,2217,51
1,0.02,0.72,0.14,French Defense,2123,0.12,French Defense,2169,52
0,0.88,0.03,0.44,Ruy López,2065,0.31,Scandinavian Defense,2434,53
1,0.97,0.6,0.31,Ruy López,2322,0.5,King's Gambit,2251,54
0,0.34,0.54,0.46,King's Gambit,2406,0.19,Scandinavian Defense,2268,55
0,0.34,0.97,0.43,Queen's Gambit,2386,0.68,Scandinavian Defense,2118,56
0,0.01,0.48,0.28,Queen's Gambit,2032,0.17,Ruy López,2102,57
0,0.68,0.06,0.19,King's Gambit,2138,0.45,Scandinavian Defense,2113,58
1,0.83,0.55,0.56,Ruy López,2266,0.29,Scandinavian Defense,2279,59
1,0.15,0.84,0.5,Sicilian Defense,2395,0.21,Ruy López,2116,60
0,0.16,1.0,0.32,Scandinavian Defense,2104,0.36,French Defense,2258,61
1,0.79,0.43,0.29,Sicilian Defense,2163,0.09,Sicilian Defense,2615,62
1,0.62,0.32,0.13,Ruy López,1979,0.24,Queen's Gambit,2374,63
1,0.04,0.91,0.44,Queen's Gambit,1961,0.21,Scandinavian Defense,2135,64
1,0.62,0.19,0.58,Sicilian Defense,2363,0.34,Sicilian Defense,2440,65
0,0.31,0.62,0.12,French Defense,2471,0.29,Ruy López,2118,66
1,0.37,0.41,0.14,French Defense,2186,0.35,Sicilian Defense,1792,67
1,0.77,0.04,0.19,King's Gambit,2401,0.42,Queen's Gambit,1998,68
0,0.81,0.35,0.19,Ruy López,2272,0.24,Sicilian Defense,1826,69
1,0.4,0.27,0.28,Ruy López,2071,0.3,Sicilian Defense,2130,70
1,0.95,0.69,0.26,Sicilian Defense,2272,0.57,Sicilian Defense,2204,71
0,0.41,0.95,0.12,Queen's Gambit,2508,0.29,Sicilian Defense,2535,72
1,0.77,0.27,0.59,Ruy López,2193,0.24,King's Gambit,2265,73
1,0.48,0.81,0.14,Sicilian Defense,2513,0.43,Scandinavian Defense,2156,74
0,0.9,0.06,0.27,Sicilian Defense,1676,0.25,Ruy López,2366,75
0,0.91,0.54,0.17,Scandinavian Defense,2364,0.59,Queen's Gambit,1758,76
0,0.09,0.07,0.51,Scandinavian Defense,2217,0.49,Ruy López,2247,77
0,0.94,0.93,0.22,Ruy López,2140,0.19,King's Gambit,2354,78
1,0.83,0.77,0.3,Sicilian Defense,2218,0.22,King's Gambit,1904,79
1,0.79,0.66,0.6,King's Gambit,1802,0.45,King's Gambit,2429,80
1,0.2,0.82,0.23,King's Gambit,2156,0.43,Scandinavian Defense,2268,81
1,0.81,0.65,0.33,Scandinavian Defense,2271,0.47,King's Gambit,2117,82
1,0.85,0.97,0.16,Ruy López,2496,0.25,Sicilian Defense,2327,83
1,0.29,0.71,0.26,Queen's Gambit,2096,0.29,Ruy López,2654,84
0,0.95,0.92,0.39,King's Gambit,2038,0.23,French Defense,2236,85
1,0.05,0.52,0.12,King's Gambit,2100,0.23,Queen's Gambit,2250,86
1,0.15,0.12,0.23,Scandinavian Defense,2383,0.17,King's Gambit,2108,87
0,0.54,0.53,0.34,Scandinavian Defense,2266,0.49,Ruy López,2030,88
0,0.58,0.13,0.07,Ruy López,2094,0.33,King's Gambit,2366,89
0,0.65,0.59,0.38,Scandinavian Defense,2303,0.34,Scandinavian Defense,2029,90
1,0.02,0.48,0.32,French Defense,2219,0.47,King's Gambit,2214,91
0,0.96,0.62,0.2,Sicilian Defense,2394,0.06,King's Gambit,2104,92
1,0.04,0.01,0.29,King's Gambit,2060,0.33,King's Gambit,2296,93
1,0.14,0.19,0.6,French Defense,2134,0.51,King's Gambit,2267,94
1,0.01,0.49,0.1,Queen's Gambit,2122,0.11,Queen's Gambit,2408,95
0,0.57,0.95,0.28,French Defense,1907,0.48,Ruy López,2098,96
0,0.93,0.38,0.5,Ruy López,2259,0.34,Scandinavian Defense,2146,97
0,0.67,0.42,0.16,Queen's Gambit,2252,0.31,King's Gambit,2004,98
1,0.82,0.71,0.21,Queen's Gambit,2201,0.32,King's Gambit,2111,99
0,0.01,0.6,0.46,Scandinavian Defense,2153,0.13,King's Gambit,2275,100
0,0.54,0.3,0.28,French Defense,1917,0.04,King's Gambit,2351,101
0,0.46,0.41,0.19,Ruy López,2116,0.44,Sicilian Defense,2016,102
1,0.5,0.22,0.11,King's Gambit,2131,0.12,Sicilian Defense,2374,103
1,0.07,0.97,0.42,Scandinavian Defense,2040,0.2,French Defense,2471,104
0,0.68,0.13,0.64,French Defense,2168,0.7,King's Gambit,2283,105
0,0.5,0.37,0.31,King's Gambit,2281,0.28,French Defense,2575,106
0,0.77,0.03,0.41,French Defense,2577,0.35,Queen's Gambit,2045,107
1,0.49,0.22,0.2,Scandinavian Defense,2235,0.18,French Defense,1951,108
0,0.15,0.78,0.14,King's Gambit,2252,0.5,Ruy López,1844,109
1,0.65,0.2,0.1,Scandinavian Defense,2185,0.06,Sicilian Defense,2499,110
0,0.17,0.08,0.37,French Defense,1816,0.44,Sicilian Defense,2331,111
1,0.87,0.47,0.51,Queen's Gambit,2195,0.09,King's Gambit,2189,112
1,0.61,0.01,0.24,Sicilian Defense,2212,0.63,King's Gambit,2256,113
0,0.16,0.08,0.41,Queen's Gambit,2693,0.38,Queen's Gambit,1975,114
1,0.96,0.81,0.26,Scandinavian Defense,2162,0.13,Scandinavian Defense,2689,115
0,0.52,0.77,0.38,Scandinavian Defense,2260,0.27,Queen's Gambit,2226,116
1,0.07,0.92,0.23,Scandinavian Defense,2193,0.38,Ruy López,2222,117
0,0.63,0.85,0.05,King's Gambit,1966,0.18,King's Gambit,2345,118
0,0.25,0.68,0.16,Ruy López,2429,0.22,King's Gambit,2296,119
0,0.8,0.05,0.19,Scandinavian Defense,2350,0.52,Queen's Gambit,2245,120
0,0.82,0.78,0.26,Queen's Gambit,2358,0.28,Queen's Gambit,2042,121
0,0.98,0.85,0.36,Sicilian Defense,2018,0.48,Queen's Gambit,2294,122
1,0.5,0.8,0.08,Scandinavian Defense,2481,0.35,Sicilian Defense,2576,123
1,0.45,0.51,0.11,Scandinavian Defense,1920,0.38,French Defense,2469,124
0,0.75,0.23,0.25,Scandinavian Defense,2317,0.46,French Defense,2519,125
0,0.13,0.85,0.55,King's Gambit,2638,0.56,King's Gambit,2098,126
1,0.55,0.73,0.34,Scandinavian Defense,2002,0.14,Sicilian Defense,2002,127
0,0.55,0.98,0.11,Queen's Gambit,2087,0.42,Queen's Gambit,2175,128
1,0.09,0.16,0.08,French Defense,2220,0.63,King's Gambit,2211,129
1,0.42,0.23,0.22,Ruy López,2099,0.42,Sicilian Defense,2419,130
1,0.85,0.21,0.24,Scandinavian Defense,1890,0.32,Ruy López,1862,131
1,0.86,0.79,0.47,King's Gambit,2214,0.52,Scandinavian Defense,2506,132
1,0.1,0.19,0.11,Queen's Gambit,1988,0.68,Sicilian Defense,2168,133
1,0.09,0.07,0.35,Scandinavian Defense,2295,0.36,King's Gambit,2115,134
1,0.26,1.0,0.11,King's Gambit,2016,0.39,French Defense,1998,135
0,0.87,0.02,0.52,French Defense,2510,0.38,Queen's Gambit,1869,136
1,0.13,0.84,0.46,Sicilian Defense,2043,0.08,Scandinavian Defense,2365,137
0,0.72,0.37,0.45,Scandinavian Defense,2136,0.44,Ruy López,2215,138
1,0.1,0.84,0.45,Queen's Gambit,2363,0.09,Scandinavian Defense,1942,139
1,0.62,0.55,0.21,King's Gambit,1954,0.4,Scandinavian Defense,1941,140
1,0.36,0.9,0.55,King's Gambit,2245,0.08,Sicilian Defense,2133,141
0,0.79,0.93,0.24,Scandinavian Defense,2461,0.13,King's Gambit,2534,142
0,0.23,0.01,0.35,King's Gambit,1879,0.21,King's Gambit,2148,143
1,0.64,0.08,0.56,Sicilian Defense,2237,0.19,Scandinavian Defense,1899,144
0,0.24,0.25,0.07,King's Gambit,2252,0.45,Queen's Gambit,2151,145
0,0.71,0.67,0.48,Ruy López,2356,0.23,King's Gambit,2145,146
0,0.87,0.89,0.36,Ruy López,1953,0.1,Scandinavian Defense,1661,147
0,0.13,0.46,0.4,King's Gambit,1936,0.18,King's Gambit,2189,148
0,0.87,0.61,0.14,Scandinavian Defense,2304,0.31,Queen's Gambit,2154,149
0,0.59,0.19,0.15,Ruy López,2259,0.31,Ruy López,2339,150
0,0.13,0.8,0.27,Queen's Gambit,2250,0.32,Scandinavian Defense,2570,151
0,0.43,0.97,0.27,Ruy López,2269,0.45,French Defense,2425,152
1,0.16,0.27,0.2,King's Gambit,2064,0.5,French Defense,2146,153
1,0.7,0.49,0.52,Scandinavian Defense,2246,0.38,Scandinavian Defense,1979,154
0,0.76,0.09,0.01,French Defense,2259,0.26,Sicilian Defense,2715,155
0,0.11,0.56,0.23,Scandinavian Defense,2057,0.22,Ruy López,2212,156
1,0.51,0.5,0.09,Scandinavian Defense,2573,0.63,Sicilian Defense,2203,157
1,0.81,0.14,0.54,Scandinavian Defense,2295,0.3,French Defense,2195,158
0,0.94,0.44,0.34,Queen's Gambit,1962,0.35,Queen's Gambit,2240,159
1,0.51,0.33,0.22,Sicilian Defense,2331,0.2,Scandinavian Defense,2171,160
1,0.95,0.52,0.12,King's Gambit,2005,0.19,King's Gambit,2085,161
0,0.54,0.59,0.33,Sicilian Defense,2357,0.12,French Defense,2091,162
0,0.39,0.01,0.1,French Defense,2432,0.29,Ruy López,2193,163
1,0.85,0.76,0.34,Sicilian Defense,2036,0.19,French Defense,2091,164
1,0.49,0.71,0.58,King's Gambit,2393,0.22,Ruy López,2057,165
1,0.47,0.37,0.55,King's Gambit,2283,0.49,Ruy López,2221,166
0,0.49,0.05,0.14,French Defense,2364,0.09,Scandinavian Defense,2149,167
0,0.85,0.75,0.54,King's Gambit,2579,0.17,Ruy López,2501,168
1,0.83,0.96,0.05,French Defense,2151,0.33,Sicilian Defense,1670,169
0,0.4,0.24,0.23,French Defense,2049,0.31,Queen's Gambit,2418,170
0,0.33,0.32,0.15,King's Gambit,2022,0.56,French Defense,2449,171
1,0.49,0.18,0.04,Ruy López,2037,0.06,Queen's Gambit,1785,172
1,0.57,0.58,0.42,French Defense,2185,0.52,King's Gambit,2131,173
0,0.24,0.15,0.47,King's Gambit,2268,0.11,French Defense,2126,174
1,0.79,0.36,0.46,Ruy López,2255,0.23,Queen's Gambit,1918,175
0,0.49,0.7,0.29,French Defense,2365,0.08,Queen's Gambit,2044,176
0,0.33,0.56,0.33,Ruy López,2203,0.02,Scandinavian Defense,1978,177
0,0.11,0.39,0.61,Queen's Gambit,2491,0.52,Scandinavian Defense,2550,178
1,0.24,0.42,0.23,Scandinavian Defense,2147,0.15,King's Gambit,2387,179
0,0.95,0.56,0.33,Queen's Gambit,2744,0.4,Ruy López,2454,180
0,0.31,0.01,0.19,Ruy López,2325,0.19,French Defense,2344,181
0,0.17,0.08,0.48,French Defense,2029,0.57,Scandinavian Defense,1974,182
1,0.46,0.88,0.46,King's Gambit,1986,0.21,French Defense,2095,183
1,0.31,0.08,0.34,Sicilian Defense,2296,0.24,King's Gambit,2298,184
0,0.04,0.71,0.29,King's Gambit,2155,0.17,Scandinavian Defense,1956,185
1,0.32,0.92,0.3,Sicilian Defense,2343,0.12,Scandinavian Defense,2343,186
0,0.54,0.27,0.33,Sicilian Defense,2295,0.43,Ruy López,2152,187
1,0.55,0.37,0.07,French Defense,2185,0.28,French Defense,2125,188
0,0.36,0.57,0.33,Ruy López,2031,0.03,French Defense,2342,189
1,0.45,0.88,0.57,King's Gambit,1897,0.58,French Defense,2289,190
1,0.97,0.94,0.17,Ruy López,2111,0.25,Ruy López,2128,191
0,0.38,0.74,0.32,Queen's Gambit,2371,0.13,Scandinavian Defense,2432,192
1,0.26,0.09,0.26,French Defense,2243,0.08,King's Gambit,1984,193
1,0.24,0.67,0.21,French Defense,1951,0.13,French Defense,2323,194
0,0.46,0.41,0.45,Queen's Gambit,2235,0.34,Queen's Gambit,2319,195
0,0.76,0.47,0.19,King's Gambit,2277,0.44,Ruy López,2138,196
1,0.21,0.05,0.42,Scandinavian Defense,2023,0.23,Sicilian Defense,2265,197
1,0.71,0.19,0.31,Queen's Gambit,2231,0.81,King's Gambit,1950,198
1,0.02,0.79,0.09,King's Gambit,2212,0.21,Queen's Gambit,2385,199
0,0.42,0.45,0.18,Sicilian Defense,1971,0.26,French Defense,2163,200
0,0.78,0.3,0.29,French Defense,2272,0.11,Sicilian Defense,2095,201
1,0.34,0.38,0.19,King's Gambit,2312,0.25,King's Gambit,2410,202
1,0.56,0.85,0.25,Ruy López,2417,0.46,Ruy López,2059,203
1,0.2,0.75,0.26,Ruy López,2411,0.62,Sicilian Defense,1918,204
1,0.74,0.27,0.19,French Defense,1924,0.4,Scandinavian Defense,1889,205
0,0.05,0.12,0.12,Queen's Gambit,2012,0.06,Sicilian Defense,2321,206
0,0.85,0.25,0.36,Scandinavian Defense,2303,0.1,Queen's Gambit,1944,207
0,0.2,0.92,0.01,Queen's Gambit,2303,0.06,King's Gambit,2551,208
0,0.87,0.58,0.23,King's Gambit,2303,0.14,Queen's Gambit,1784,209
0,0.35,0.53,0.37,Queen's Gambit,2900,0.18,Queen's Gambit,2539,210
0,0.72,0.6,0.47,French Defense,2314,0.12,French Defense,2242,211
0,0.32,0.37,0.23,King's Gambit,2427,0.38,Ruy López,2181,212
0,0.91,0.81,0.6,Sicilian Defense,2391,0.12,Sicilian Defense,2091,213
1,0.13,0.52,0.11,Queen's Gambit,2330,0.34,King's Gambit,2280,214
0,0.18,0.12,0.29,Queen's Gambit,2137,0.42,Scandinavian Defense,2192,215
0,0.49,0.13,0.24,Scandinavian Defense,2352,0.22,Ruy López,2421,216
1,0.08,0.54,0.09,King's Gambit,2045,0.5,Ruy López,2223,217
1,0.2,0.94,0.34,Ruy López,2153,0.37,King's Gambit,2230,218
1,0.94,0.31,0.26,Queen's Gambit,2103,0.18,Ruy López,2127,219
0,0.98,0.87,0.11,French Defense,2216,0.26,French Defense,2189,220
0,0.38,0.76,0.34,Queen's Gambit,2663,0.19,Ruy López,2262,221
0,0.92,0.25,0.07,Scandinavian Defense,1827,0.42,French Defense,1858,222
1,0.54,0.04,0.39,Sicilian Defense,2337,0.37,Sicilian Defense,1930,223
0,0.27,0.1,0.17,Scandinavian Defense,1877,0.32,Sicilian Defense,2349,224
0,0.7,0.73,0.69,Queen's Gambit,2106,0.08,Queen's Gambit,2234,225
1,0.66,0.2,0.17,Ruy López,2418,0.17,French Defense,2163,226
0,0.99,0.37,0.26,Queen's Gambit,2213,0.15,Scandinavian Defense,2204,227
0,0.27,0.5,0.34,King's Gambit,1984,0.04,Sicilian Defense,2270,228
1,0.67,0.73,0.19,Queen's Gambit,2057,0.1,Ruy López,2092,229
1,0.05,0.11,0.44,Ruy López,2336,0.11,King's Gambit,2044,230
1,0.11,0.41,0.29,King's Gambit,2054,0.23,King's Gambit,2239,231
0,0.0,0.49,0.04,French Defense,2243,0.4,French Defense,2004,232
1,1.0,0.54,0.09,King's Gambit,2209,0.19,Scandinavian Defense,2282,233
1,0.8,0.82,0.47,Scandinavian Defense,2070,0.24,Queen's Gambit,1859,234
0,0.79,0.17,0.27,Sicilian Defense,2629,0.24,Ruy López,2406,235
0,0.51,0.81,0.24,Scandinavian Defense,2327,0.26,French Defense,2295,236
1,0.3,0.69,0.27,King's Gambit,1795,0.28,King's Gambit,2251,237
0,0.15,0.56,0.1,French Defense,2237,0.49,French Defense,2397,238
0,0.28,0.7,0.23,Queen's Gambit,2068,0.22,Ruy López,2533,239
1,0.38,0.41,0.26,King's Gambit,2370,0.5,Scandinavian Defense,2403,240
1,0.76,0.14,0.69,Scandinavian Defense,2041,0.27,Scandinavian Defense,1832,241
0,0.54,0.67,0.25,King's Gambit,2177,0.24,Sicilian Defense,1944,242
0,0.08,0.52,0.24,King's Gambit,2301,0.71,Ruy López,2075,243
0,0.02,0.64,0.28,King's Gambit,2373,0.44,Sicilian Defense,2205,244
0,0.1,0.34,0.27,French Defense,1960,0.04,Sicilian Defense,2304,245
1,0.41,0.91,0.23,Ruy López,2133,0.34,Sicilian Defense,2055,246
1,0.93,0.59,0.43,Ruy López,2105,0.11,French Defense,2237,247
1,0.64,0.09,0.22,King's Gambit,2069,0.28,King's Gambit,2049,248
