bugzero_win,complexity_pref1,complexity_pref2,opponent1_aggression,opponent1_opening,opponent1_rating,opponent2_aggression,opponent2_opening,opponent2_rating,opponent_id
0,0.8,0.45,0.48,French Defense,2553,0.12,Scandinavian Defense,2078,249
0,0.47,0.76,0.23,French Defense,2281,0.31,French Defense,1919,250
1,0.36,0.79,0.43,King's Gambit,1948,0.58,King's Gambit,2015,251
1,0.11,0.49,0.39,Scandinavian Defense,2384,0.35,Scandinavian Defense,1930,252
0,0.88,0.89,0.21,Scandinavian Defense,2624,0.21,Ruy López,2005,253
0,0.78,0.27,0.09,Sicilian Defense,2406,0.19,Scandinavian Defense,2411,254
1,0.17,0.41,0.6,King's Gambit,1896,0.53,Scandinavian Defense,2010,255
1,0.51,0.9,0.23,Sicilian Defense,2103,0.34,Scandinavian Defense,2726,256
0,0.49,0.9,0.3,Scandinavian Defense,2453,0.51,Queen's Gambit,2299,257
0,0.63,0.69,0.16,Scandinavian Defense,2058,0.39,Ruy López,2237,258
1,0.95,0.86,0.18,King's Gambit,2289,0.25,French Defense,2028,259
0,0.58,0.09,0.48,Sicilian Defense,2355,0.33,French Defense,2340,260
1,0.54,0.86,0.53,Sicilian Defense,2015,0.62,King's Gambit,2085,261
1,0.05,0.32,0.36,King's Gambit,2188,0.26,French Defense,2224,262
1,0.06,0.18,0.25,Sicilian Defense,1552,0.18,Sicilian Defense,2712,263
0,0.19,0.24,0.38,Queen's Gambit,1995,0.17,Scandinavian Defense,2181,264
0,0.03,0.42,0.2,Scandinavian Defense,2149,0.4,French Defense,2430,265
0,0.74,0.25,0.3,Ruy López,1950,0.2,King's Gambit,2059,266
0,0.72,0.32,0.13,French Defense,2526,0.23,King's Gambit,2193,267
1,0.14,0.13,0.13,Sicilian Defense,1914,0.46,Sicilian Defense,2554,268
1,0.84,0.3,0.35,Sicilian Defense,2112,0.1,King's Gambit,2075,269
0,0.15,0.57,0.32,French Defense,2226,0.28,Queen's Gambit,2562,270
0,0.3,0.44,0.31,Sicilian Defense,2488,0.49,Scandinavian Defense,2342,271
1,0.25,0.35,0.23,French Defense,1913,0.32,Scandinavian Defense,2088,272
0,0.37,0.75,0.31,King's Gambit,2433,0.28,Scandinavian Defense,2326,273
0,0.25,0.89,0.17,Queen's Gambit,2202,0.38,Ruy López,2395,274
1,0.49,0.76,0.04,Queen's Gambit,2004,0.32,French Defense,2324,275
0,0.41,0.33,0.28,Scandinavian Defense,2292,0.25,Queen's Gambit,1886,276
0,0.99,0.74,0.09,Ruy López,2240,0.05,French Defense,2055,277
1,0.06,0.15,0.41,Sicilian Defense,2080,0.39,Queen's Gambit,2150,278
0,0.14,0.13,0.52,Ruy López,2214,0.09,French Defense,2185,279
1,0.05,0.35,0.63,King's Gambit,2123,0.41,Sicilian Defense,2324,280
0,0.63,0.81,0.27,Queen's Gambit,2223,0.05,King's Gambit,2236,281
0,0.05,0.25,0.16,King's Gambit,2332,0.13,King's Gambit,1933,282
1,0.84,0.06,0.3,King's Gambit,2517,0.31,Sicilian Defense,2276,283
0,0.51,0.13,0.25,Sicilian Defense,1952,0.23,Queen's Gambit,2322,284
0,0.53,0.86,0.28,King's Gambit,2627,0.21,Ruy López,2312,285
0,0.56,0.63,0.47,Queen's Gambit,1810,0.68,Queen's Gambit,2416,286
1,0.17,0.25,0.22,Ruy López,2170,0.41,King's Gambit,2367,287
1,0.2,0.56,0.25,Queen's Gambit,2318,0.05,Ruy López,2292,288
0,0.32,0.53,0.13,Sicilian Defense,2256,0.49,French Defense,2186,289
1,0.59,0.66,0.26,Queen's Gambit,2075,0.45,Ruy López,1868,290
0,0.21,0.23,0.58,French Defense,2158,0.36,Queen's Gambit,2286,291
1,0.12,0.86,0.17,Ruy López,2101,0.19,Sicilian Defense,2242,292
0,0.97,0.31,0.44,French Defense,2082,0.4,French Defense,2254,293
1,0.02,0.69,0.24,French Defense,2370,0.28,Queen's Gambit,1945,294
0,0.8,0.02,0.45,Scandinavian Defense,2271,0.44,French Defense,1984,295
0,0.79,0.37,0.42,Sicilian Defense,2061,0.14,Ruy López,2411,296
1,0.3,0.35,0.12,King's Gambit,2380,0.18,King's Gambit,2192,297
0,0.14,0.54,0.41,French Defense,2261,0.11,Queen's Gambit,2336,298
1,0.15,0.07,0.09,Queen's Gambit,2363,0.15,Sicilian Defense,2206,299
0,0.7,0.79,0.1,King's Gambit,2326,0.2,Ruy López,2206,300
0,0.64,0.22,0.23,Queen's Gambit,2034,0.32,Queen's Gambit,2388,301
0,0.78,0.68,0.55,Queen's Gambit,2088,0.15,Sicilian Defense,2097,302
1,0.94,0.8,0.35,King's Gambit,2349,0.27,Queen's Gambit,2219,303
0,0.69,0.56,0.14,King's Gambit,2322,0.49,Ruy López,2108,304
0,0.16,0.74,0.05,Queen's Gambit,2196,0.36,Queen's Gambit,2113,305
1,0.24,0.66,0.38,Sicilian Defense,2223,0.2,French Defense,2138,306
0,0.84,0.36,0.28,Ruy López,2456,0.02,Ruy López,2244,307
0,0.21,0.81,0.31,Scandinavian Defense,2082,0.28,Queen's Gambit,2104,308
1,0.07,0.29,0.34,Ruy López,2309,0.19,King's Gambit,2451,309
1,0.7,0.57,0.48,Sicilian Defense,2160,0.12,Queen's Gambit,2021,310
0,0.4,0.75,0.26,Scandinavian Defense,2156,0.29,French Defense,2163,311
1,0.92,0.38,0.5,King's Gambit,2420,0.45,Sicilian Defense,2112,312
0,0.65,0.3,0.15,Scandinavian Defense,2365,0.17,Sicilian Defense,2489,313
0,0.09,0.46,0.06,Queen's Gambit,2363,0.42,Sicilian Defense,2239,314
0,0.95,0.82,0.45,Ruy López,2461,0.23,King's Gambit,2406,315
0,0.26,0.93,0.11,Scandinavian Defense,2204,0.34,French Defense,1903,316
0,0.34,0.55,0.3,Queen's Gambit,2336,0.48,Ruy López,2253,317
0,0.4,0.66,0.54,Sicilian Defense,2138,0.02,Sicilian Defense,2378,318
0,0.05,0.9,0.07,Scandinavian Defense,2265,0.35,French Defense,2216,319
0,0.5,0.1,0.34,Queen's Gambit,2174,0.66,Queen's Gambit,2413,320
1,0.12,0.23,0.06,Sicilian Defense,2219,0.54,King's Gambit,2097,321
0,0.4,0.71,0.27,King's Gambit,2319,0.12,French Defense,2482,322
0,0.35,0.82,0.01,Sicilian Defense,2036,0.32,French Defense,2660,323
0,0.77,0.86,0.09,Sicilian Defense,2618,0.72,Ruy López,2127,324
0,0.8,0.42,0.16,Ruy López,1999,0.21,French Defense,2111,325
0,0.15,0.09,0.06,Queen's Gambit,1957,0.48,Ruy López,2491,326
0,0.37,0.44,0.36,Scandinavian Defense,2432,0.3,King's Gambit,2516,327
0,0.37,0.23,0.33,Ruy López,2358,0.22,King's Gambit,2095,328
0,0.15,0.29,0.55,French Defense,2325,0.48,Queen's Gambit,2116,329
0,0.8,0.77,0.11,Sicilian Defense,2326,0.48,Ruy López,2144,330
0,0.71,0.08,0.22,French Defense,2198,0.13,Ruy López,1931,331
1,0.19,0.83,0.08,Ruy López,2021,0.53,Sicilian Defense,2016,332
0,0.37,0.43,0.18,Queen's Gambit,2215,0.01,Sicilian Defense,1999,333
0,0.11,0.6,0.6,Ruy López,2065,0.21,Queen's Gambit,2046,334
0,0.63,0.09,0.4,Queen's Gambit,2395,0.29,King's Gambit,2193,335
1,0.12,0.34,0.11,Queen's Gambit,2171,0.21,Scandinavian Defense,2247,336
0,0.99,0.09,0.03,King's Gambit,2035,0.28,Sicilian Defense,2510,337
1,0.78,0.96,0.03,Sicilian Defense,2136,0.18,French Defense,2000,338
0,0.39,0.81,0.37,Ruy López,2283,0.26,King's Gambit,2397,339
1,0.58,0.46,0.16,Queen's Gambit,2087,0.42,Scandinavian Defense,2157,340
1,0.91,0.22,0.74,Ruy López,2036,0.28,French Defense,2190,341
0,0.55,0.93,0.24,Ruy López,2249,0.62,Ruy López,2335,342
0,0.17,0.34,0.17,Queen's Gambit,2249,0.27,King's Gambit,1975,343
0,0.38,0.16,0.08,Scandinavian Defense,2099,0.23,Queen's Gambit,2276,344
0,0.84,0.56,0.45,French Defense,2106,0.75,Ruy López,2233,345
1,0.64,0.94,0.2,Sicilian Defense,2246,0.49,Ruy López,2298,346
0,0.65,0.0,0.26,Sicilian Defense,1910,0.39,French Defense,2258,347
0,0.87,0.24,0.28,Scandinavian Defense,1919,0.07,Ruy López,2691,348
1,0.89,0.94,0.25,King's Gambit,2056,0.58,Sicilian Defense,2072,349
1,0.92,0.17,0.39,Scandinavian Defense,2157,0.42,King's Gambit,2094,350
1,0.09,0.11,0.09,King's Gambit,2262,0.11,Sicilian Defense,2075,351
1,0.54,0.57,0.24,King's Gambit,2495,0.37,French Defense,2089,352
0,0.74,0.86,0.2,Scandinavian Defense,2372,0.14,Scandinavian Defense,2073,353
0,0.76,0.48,0.4,Sicilian Defense,2168,0.53,French Defense,2438,354
0,0.61,0.99,0.47,French Defense,2196,0.55,King's Gambit,2484,355
0,0.17,0.68,0.13,Sicilian Defense,1999,0.45,Ruy López,2086,356
1,0.8,0.07,0.4,Sicilian Defense,2196,0.19,Queen's Gambit,2034,357
1,0.72,0.99,0.09,Sicilian Defense,2142,0.44,French Defense,2294,358
1,0.09,0.41,0.25,Scandinavian Defense,2265,0.09,King's Gambit,2090,359
1,0.46,0.29,0.26,Scandinavian Defense,2035,0.3,Queen's Gambit,2327,360
1,0.17,0.56,0.45,Scandinavian Defense,2304,0.23,Ruy López,2241,361
1,0.34,0.3,0.39,Sicilian Defense,2507,0.22,Scandinavian Defense,1897,362
0,0.02,0.09,0.1,French Defense,2178,0.09,French Defense,2510,363
0,0.4,0.0,0.38,King's Gambit,2280,0.29,Scandinavian Defense,2559,364
0,0.55,0.45,0.3,Ruy López,2338,0.13,King's Gambit,2077,365
1,0.62,0.84,0.59,King's Gambit,2120,0.19,Scandinavian Defense,2122,366
1,0.66,0.57,0.18,King's Gambit,2245,0.38,Scandinavian Defense,2257,367
0,0.84,1.0,0.21,Ruy López,2203,0.29,King's Gambit,2267,368
1,0.22,0.29,0.62,Sicilian Defense,2220,0.2,King's Gambit,2332,369
0,0.12,0.28,0.49,French Defense,2045,0.13,French Defense,2602,370
0,0.85,0.16,0.1,French Defense,2205,0.35,Scandinavian Defense,2165,371
1,0.16,0.16,0.25,King's Gambit,2300,0.36,Queen's Gambit,2040,372
0,0.97,0.29,0.34,Ruy López,2490,0.17,King's Gambit,1924,373
0,0.84,0.79,0.4,Queen's Gambit,2392,0.21,Ruy López,2054,374
0,0.5,0.91,0.12,Sicilian Defense,2631,0.3,Scandinavian Defense,2193,375
1,0.98,0.98,0.56,King's Gambit,2047,0.13,King's Gambit,2559,376
0,0.1,0.23,0.06,French Defense,2374,0.33,Queen's Gambit,2096,377
0,0.3,0.88,0.12,Scandinavian Defense,2237,0.11,French Defense,2245,378
1,0.64,0.33,0.53,Scandinavian Defense,2638,0.14,Scandinavian Defense,2197,379
0,0.35,0.11,0.27,Ruy López,2038,0.01,King's Gambit,2438,380
0,0.93,0.87,0.28,Ruy López,2032,0.14,King's Gambit,2705,381
1,0.07,0.64,0.3,King's Gambit,2080,0.05,Ruy López,2094,382
0,0.55,0.16,0.14,Queen's Gambit,1775,0.2,Ruy López,2102,383
0,0.59,0.43,0.07,French Defense,2095,0.17,Scandinavian Defense,2409,384
1,0.65,0.29,0.33,King's Gambit,2048,0.05,King's Gambit,2336,385
0,0.26,0.74,0.36,Queen's Gambit,2230,0.27,Scandinavian Defense,2569,386
0,0.36,0.45,0.31,Ruy López,2268,0.53,King's Gambit,2317,387
1,0.84,0.99,0.18,Scandinavian Defense,2575,0.67,Ruy López,2128,388
1,0.19,0.05,0.11,Sicilian Defense,2390,0.06,Queen's Gambit,2318,389
1,0.83,0.36,0.23,Scandinavian Defense,2085,0.31,Sicilian Defense,2422,390
1,0.56,0.48,0.64,French Defense,2020,0.35,Sicilian Defense,2364,391
0,0.76,0.5,0.24,French Defense,2298,0.4,King's Gambit,2301,392
0,0.71,0.32,0.22,Scandinavian Defense,1936,0.21,Ruy López,2413,393
0,0.21,0.73,0.25,Scandinavian Defense,2566,0.34,French Defense,2434,394
1,0.57,0.87,0.24,Queen's Gambit,2436,0.41,French Defense,2476,395
0,0.87,0.94,0.53,King's Gambit,2106,0.57,Sicilian Defense,2330,396
0,0.43,0.81,0.39,Ruy López,1857,0.29,Queen's Gambit,2167,397
0,0.97,0.85,0.17,Queen's Gambit,2471,0.04,Sicilian Defense,2229,398
0,0.45,0.55,0.2,Sicilian Defense,2177,0.22,King's Gambit,2441,399
0,0.14,0.83,0.25,Scandinavian Defense,2448,0.34,Queen's Gambit,2037,400
1,0.39,0.3,0.29,Sicilian Defense,1881,0.18,French Defense,2274,401
0,0.95,0.4,0.14,Sicilian Defense,2080,0.39,Ruy López,2121,402
1,0.32,0.32,0.19,Queen's Gambit,2201,0.08,Ruy López,2206,403
1,0.87,0.47,0.57,Ruy López,2209,0.64,King's Gambit,2456,404
1,0.88,0.29,0.54,French Defense,2110,0.18,Sicilian Defense,2238,405
1,0.35,0.96,0.21,King's Gambit,2325,0.1,King's Gambit,2209,406
0,0.08,0.31,0.19,French Defense,1986,0.13,Ruy López,1928,407
1,0.72,0.1,0.39,Ruy López,2172,0.49,French Defense,2349,408
0,0.31,0.53,0.05,French Defense,2224,0.14,Ruy López,2329,409
0,0.78,0.06,0.51,Scandinavian Defense,2303,0.32,Queen's Gambit,2633,410
1,0.44,0.11,0.17,Scandinavian Defense,2342,0.58,Scandinavian Defense,2138,411
0,0.49,0.22,0.35,Queen's Gambit,1975,0.13,Ruy López,2244,412
1,0.78,0.46,0.06,Sicilian Defense,1893,0.51,Ruy López,2250,413
1,0.38,0.43,0.4,Ruy López,2456,0.41,Scandinavian Defense,2515,414
0,0.44,0.8,0.36,Ruy López,2266,0.04,Queen's Gambit,2181,415
1,0.38,0.74,0.34,French Defense,2050,0.44,Sicilian Defense,2256,416
0,0.37,0.43,0.13,Queen's Gambit,2510,0.44,Ruy López,2322,417
0,0.53,0.33,0.19,French Defense,2223,0.04,King's Gambit,2237,418
1,0.81,0.32,0.31,French Defense,2436,0.26,Ruy López,2111,419
0,0.36,0.77,0.16,Ruy López,2214,0.29,King's Gambit,2239,420
0,0.52,0.05,0.16,French Defense,2612,0.21,Queen's Gambit,2415,421
0,0.67,0.01,0.49,Sicilian Defense,2551,0.19,Ruy López,1995,422
0,0.27,0.8,0.04,French Defense,2150,0.07,Queen's Gambit,2227,423
0,0.28,0.48,0.5,Sicilian Defense,2394,0.35,Queen's Gambit,2060,424
1,0.93,0.13,0.13,Ruy López,2329,0.01,Sicilian Defense,2439,425
0,0.72,0.24,0.38,Queen's Gambit,2474,0.27,Ruy López,1895,426
1,0.58,0.93,0.32,Scandinavian Defense,2007,0.21,King's Gambit,2088,427
0,0.65,0.86,0.12,Sicilian Defense,2337,0.24,King's Gambit,2275,428
0,0.03,0.71,0.16,Queen's Gambit,2412,0.37,Ruy López,2513,429
0,0.62,0.48,0.42,Queen's Gambit,1848,0.21,Scandinavian Defense,2187,430
1,0.51,0.52,0.22,Sicilian Defense,1963,0.33,Sicilian Defense,2089,431
1,0.55,0.98,0.75,Ruy López,1792,0.24,Sicilian Defense,2576,432
1,0.36,0.97,0.18,King's Gambit,2146,0.18,Sicilian Defense,1910,433
1,0.08,0.22,0.17,Queen's Gambit,2344,0.27,King's Gambit,1760,434
0,0.19,0.81,0.1,Queen's Gambit,2500,0.37,Queen's Gambit,2288,435
0,0.95,0.2,0.16,Ruy López,2215,0.34,Scandinavian Defense,2100,436
1,0.41,0.21,0.25,Ruy López,2526,0.02,Sicilian Defense,1996,437
1,0.47,0.68,0.7,French Defense,1924,0.37,King's Gambit,2342,438
0,0.05,0.41,0.16,Ruy López,1859,0.31,King's Gambit,2249,439
0,0.04,0.93,0.04,Queen's Gambit,2189,0.03,Queen's Gambit,2087,440
1,0.72,0.09,0.19,Sicilian Defense,2277,0.41,Ruy López,1944,441
1,0.54,0.51,0.28,King's Gambit,2193,0.29,Ruy López,2374,442
1,0.51,0.92,0.5,French Defense,1787,0.63,Sicilian Defense,2330,443
1,0.24,0.9,0.29,Sicilian Defense,2182,0.13,Sicilian Defense,2180,444
0,0.74,0.16,0.21,King's Gambit,1939,0.37,Scandinavian Defense,2569,445
0,0.17,0.37,0.17,King's Gambit,2334,0.21,Queen's Gambit,1986,446
1,0.19,0.62,0.4,King's Gambit,2273,0.5,Sicilian Defense,1895,447
1,0.46,0.16,0.27,Scandinavian Defense,2012,0.26,Queen's Gambit,2062,448
1,0.29,0.97,0.4,Sicilian Defense,2097,0.6,King's Gambit,2191,449
1,0.25,0.91,0.11,French Defense,1988,0.08,Sicilian Defense,2249,450
0,0.65,0.17,0.19,French Defense,2187,0.3,King's Gambit,2152,451
0,0.65,0.12,0.35,King's Gambit,2391,0.37,French Defense,2270,452
0,0.82,0.09,0.08,Sicilian Defense,2003,0.39,Queen's Gambit,1950,453
0,0.42,0.91,0.12,Scandinavian Defense,2301,0.53,French Defense,2489,454
1,0.07,0.19,0.24,King's Gambit,2094,0.31,Sicilian Defense,2184,455
0,0.27,0.42,0.47,Ruy López,2041,0.06,King's Gambit,2423,456
1,0.98,0.45,0.55,French Defense,2179,0.16,Sicilian Defense,2269,457
0,0.6,0.6,0.13,Queen's Gambit,1993,0.09,French Defense,2291,458
1,0.71,0.07,0.3,King's Gambit,2089,0.66,Sicilian Defense,2314,459
0,0.01,0.23,0.51,Ruy López,1960,0.23,Scandinavian Defense,2290,460
0,0.52,0.93,0.4,French Defense,2593,0.2,Ruy López,2329,461
1,0.04,0.91,0.28,Scandinavian Defense,2207,0.34,French Defense,2466,462
1,0.57,0.78,0.32,Sicilian Defense,2060,0.37,Sicilian Defense,2239,463
0,0.92,0.02,0.14,French Defense,2243,0.26,King's Gambit,2342,464
1,0.97,0.33,0.2,Sicilian Defense,2178,0.33,Sicilian Defense,2182,465
1,0.54,0.63,0.24,Sicilian Defense,2156,0.42,King's Gambit,2488,466
1,0.46,0.28,0.23,Scandinavian Defense,2323,0.13,Ruy López,2065,467
0,0.95,0.91,0.22,Scandinavian Defense,2352,0.33,Sicilian Defense,2560,468
1,0.67,0.63,0.12,King's Gambit,2094,0.31,Ruy López,2192,469
1,0.06,0.07,0.52,King's Gambit,2085,0.44,French Defense,1914,470
1,0.47,0.91,0.26,French Defense,2145,0.45,King's Gambit,2226,471
1,0.24,0.96,0.23,Scandinavian Defense,1740,0.18,Scandinavian Defense,2064,472
1,0.47,0.08,0.1,Ruy López,1897,0.07,French Defense,2368,473
0,0.46,0.53,0.34,French Defense,2473,0.27,King's Gambit,2069,474
0,0.58,0.3,0.16,Queen's Gambit,2529,0.35,Ruy López,2111,475
1,0.36,0.39,0.16,Sicilian Defense,2150,0.52,Queen's Gambit,1822,476
1,0.16,0.18,0.19,Sicilian Defense,2315,0.11,Sicilian Defense,2110,477
0,0.5,0.58,0.39,King's Gambit,2262,0.06,Ruy López,1715,478
0,0.83,0.96,0.32,Ruy López,2816,0.13,King's Gambit,1883,479
0,0.66,0.5,0.06,Scandinavian Defense,2424,0.06,King's Gambit,2352,480
1,0.34,0.08,0.51,Scandinavian Defense,2174,0.33,King's Gambit,2357,481
1,0.94,0.62,0.3,King's Gambit,2009,0.29,King's Gambit,2285,482
0,0.91,0.34,0.3,Queen's Gambit,1879,0.35,Sicilian Defense,2007,483
1,0.21,0.86,0.14,French Defense,2241,0.13,French Defense,2190,484
0,0.04,0.43,0.45,French Defense,2049,0.41,Scandinavian Defense,2199,485
0,0.74,0.19,0.25,Ruy López,1916,0.16,Queen's Gambit,1968,486
1,0.83,0.19,0.17,King's Gambit,2071,0.3,Sicilian Defense,2501,487
1,0.97,0.77,0.08,King's Gambit,1984,0.64,King's Gambit,2375,488
0,0.89,0.27,0.23,Queen's Gambit,2537,0.14,Sicilian Defense,2156,489
0,0.6,0.77,0.48,French Defense,2376,0.17,Ruy López,2205,490
1,0.53,0.21,0.17,King's Gambit,2198,0.13,Scandinavian Defense,2242,491
0,0.03,0.32,0.07,Scandinavian Defense,2496,0.18,King's Gambit,1792,492
1,0.25,0.47,0.19,Ruy López,2215,0.17,Queen's Gambit,2151,493
1,0.46,0.94,0.17,French Defense,2028,0.19,King's Gambit,2064,494
1,0.63,0.93,0.28,Queen's Gambit,2505,0.22,Scandinavian Defense,2000,495
1,0.56,0.21,0.13,Ruy López,2308,0.34,Queen's Gambit,2144,496
1,0.74,0.36,0.15,Sicilian Defense,1993,0.46,Scandinavian Defense,2560,497
0,0.28,0.15,0.09,Scandinavian Defense,2162,0.3,Queen's Gambit,2328,498
0,0.56,0.51,0.35,Queen's Gambit,2025,0.24,French Defense,2086,499
0,0.09,0.46,0.16,Ruy López,1923,0.04,French Defense,2315,500
